lon,lat,owner,watershed,type,form
-71.10924830830,42.41186664620,,IN-3985,STORM WATER INLET,
-71.10977421100,42.41188171570,,IN-3984,STORM WATER INLET,
-71.10915077060,42.41193372320,,IN-3986,STORM WATER INLET,
-71.10978999410,42.41194641090,,IN-3983,STORM WATER INLET,
-71.12991780080,42.42194089450,,IN-631,STORM WATER INLET,
-71.12983647580,42.42199543180,,IN-632,STORM WATER INLET,
-71.13018562130,42.42270020690,,IN-725,STORM WATER INLET,
-71.13027624080,42.42270514250,,IN-728,STORM WATER INLET,
-71.13063322080,42.42364477930,,IN-726,STORM WATER INLET,
-71.13055956060,42.42368225900,,IN-727,STORM WATER INLET,
-71.13039057460,42.42592903500,,IN-307,STORM WATER INLET,
-71.13042724670,42.42598710600,,IN-308,STORM WATER INLET,
-71.12974049120,42.42642003910,,IN-327,STORM WATER INLET,
-71.12979572440,42.42645848190,,IN-328,STORM WATER INLET,
-71.12932366320,42.42677204140,,IN-330,STORM WATER INLET,
-71.12603595920,42.42723051640,,IN-464,STORM WATER INLET,
-71.10433538420,42.42317002870,,IN-396,STORM WATER INLET,
-71.10421973150,42.42405572020,,IN-84,STORM WATER INLET,
-71.10431983510,42.42407037320,,IN-1134,STORM WATER INLET,
-71.10428976620,42.42425593800,,IN-1133,STORM WATER INLET,
-71.10416314530,42.42433560190,,IN-3581,STORM WATER INLET,
-71.10387866550,42.42502906360,,IN-4769,STORM WATER INLET,
-71.10380068820,42.42518172580,,IN-3580,STORM WATER INLET,
-71.11971949100,42.42385916010,,IN-427,STORM WATER INLET,
-71.11978409490,42.42390397210,,IN-326,STORM WATER INLET,
-71.11690207630,42.40866995490,,IN-2825,STORM WATER INLET,
-71.11681847810,42.40869523100,,IN-2824,STORM WATER INLET,
-71.11794971080,42.41048215480,,IN-2827,STORM WATER INLET,
-71.11803245810,42.41050270730,,IN-2826,STORM WATER INLET,
-71.11688513980,42.41216580500,,IN-2431,STORM WATER INLET,
-71.11679134060,42.41216637050,,IN-2432,STORM WATER INLET,
-71.11638540980,42.41275463640,,IN-2763,STORM WATER INLET,
-71.11646137960,42.41278191670,,IN-2762,STORM WATER INLET,
-71.09144704650,42.41745553170,,IN-1954,STORM WATER INLET,
-71.09153046290,42.41747680510,,IN-1955,STORM WATER INLET,
-71.09123565570,42.41822567810,,IN-1956,STORM WATER INLET,
-71.09132437270,42.41823609510,,IN-1957,STORM WATER INLET,
-71.14019034070,42.42766851810,,IN-594,STORM WATER INLET,
-71.14011778330,42.42773487900,,IN-593,STORM WATER INLET,
-71.11107960670,42.40798325830,,IN-3852,STORM WATER INLET,
-71.07523758480,42.40652124940,,IN-4599,STORM WATER INLET,
-71.07635549190,42.40652921380,,IN-2331,STORM WATER INLET,
-71.07634672770,42.40660507330,,IN-2330,STORM WATER INLET,
-71.07525620180,42.40660167700,,IN-2328,STORM WATER INLET,
-71.13033612590,42.41774798630,,IN-834,STORM WATER INLET,
-71.13042116670,42.41777675220,,IN-833,STORM WATER INLET,
-71.13021347160,42.41842389120,,IN-832,STORM WATER INLET,
-71.13042539800,42.42004162920,,IN-1008,STORM WATER INLET,
-71.13035008400,42.42005675780,,IN-1009,STORM WATER INLET,
-71.13093549850,42.42078075040,,IN-1006,STORM WATER INLET,
-71.13088592970,42.42083648940,,IN-1007,STORM WATER INLET,
-71.12128451980,42.40977704950,,IN-2857,STORM WATER INLET,
-71.12125070590,42.40981851760,,IN-2856,STORM WATER INLET,
