FID,OBJECTID,ANCILLARYR,ENABLED,SUBTYPEFIE,FACILITYID,SYMBOLROTA,LIFECYCLES,WATERTYPE,INSTALLDAT,SURFACEELE,LASTEDITOR,LASTEDITDA,COMMENTS,OWNER,ARCFMID,HISTORICAL,FRAMEMATER,ACCESSMATE,WALLMATERI,GRATETYPE,DEPTH,INVERTELEV,ADDRESS,COATINGTYP,HOODED,CURBINLET,NORMENABLE,SOURCE1,LastCleanD,DEEP,x,y
241,1384,0,1,3,D22CBN2020,74,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005386, ,STL,STL, ,OTH,0,999,ACROSS-67 KIRKLAND,UNK,1,0,0, ,8/25/11 0:00, ,-71.10956139,42.37753803
242,1385,0,1,1,D22CBN3906,10,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005387, , , , ,D,0,999,ACROSS FROM 15 ROBERTS RD,UNK,1,1,0, ,9/20/11 0:00,Y,-71.10847537,42.37600726
243,1387,0,1,1,D22CBN3905,10,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/6/10 0:00, ,CDPW,SCB000005389, , , , ,D,0,999,21 ROBERTS,UNK,0,1,0, ,4/29/10 0:00, ,-71.10855165,42.37616805
244,1388,0,1,1,D22CBN3609,8,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005390, , , , ,D,0,999,85 TROWBRIDGE ST,UNK,1,0,0, ,9/20/11 0:00,N,-71.10991328,42.37569109
245,1389,0,1,1,D22CBN3607,8,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005391, , , , ,D,0,999,95 TROWBRIDGE ST,UNK,1,0,0, ,9/20/11 0:00,N,-71.10981493,42.37607149
246,1390,0,1,3,D22CBN3605,8,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005392, ,STL,STL, ,OTH,0,999,105 TROWBRIDGE ST,UNK,0,0,0, ,9/20/11 0:00, ,-71.10969314,42.376659
247,1391,0,1,1,D22CBN3606,8,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005393, , , , ,D,0,999,108 TROWBRIDGE,UNK,0,1,0, ,9/20/11 0:00,Y,-71.10960067,42.37664908
248,1393,0,1,3,D22CBN3303,10,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005432, ,STL,STL, ,OTH,0,999,37 IRVING ST,UNK,1,0,0, ,8/22/11 0:00, ,-71.11085262,42.37625543
255,1401,0,1,1,D11CBN2030,56,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,4/30/02 0:00, ,CDPW,SCB000001334, , , , ,F,0,999,VASSAR,UNK,0,1,0, ,, ,-71.10107936,42.35703741
256,1402,0,1,1,D11CBN2081,56,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,4/30/02 0:00, ,CDPW,SCB000001956, , , , ,F,0,999,VASSAR,UNK,0,1,0, ,, ,-71.10117916,42.35712762
257,1404,0,1,1,D10CBN0306,64,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,5/2/02 0:00, ,CDPW,SCB000001983, , , , ,AG,0,999,AMHERST,UNK,0,0,0, ,, ,-71.09742089,42.35638734
264,1415,0,1,1,D41CBN7080,48,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/6/10 0:00,REPAIR - NO FLOOR,CDPW,SCB000005128, , , , ,D,0,999,MEACHAM RD AND 2285 MASS AVE.,UNK,0,0,0, ,5/20/10 0:00, ,-71.12743112,42.39516341
265,1416,0,1,1,D41CBN7084,48,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/6/10 0:00,RESET,CDPW,SCB000005130, , , , ,F,0,999,MEACHAND AND LOCKE ST.,UNK,0,1,0, ,8/19/10 0:00, ,-71.12642211,42.39589829
266,1417,0,1,1,D41CBN4710,50,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000005131, , , , ,AG,0,999,LOT BEHIND 2286 MASS AVE,UNK,0,0,0, ,, ,-71.12785798,42.39469419
267,1418,0,1,1,D39CBN4711,50,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000005132, , , , ,BG,0,999,LOT BEHIND 2286 MASS AVE,UNK,0,0,0, ,, ,-71.12798668,42.39464727
268,1419,0,1,1,D39CBN4712,50,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000005133, , , , ,F,0,999,LOT BEHIND 2286 MASS AVE,UNK,0,0,0, ,, ,-71.12789293,42.39453652
269,1420,0,1,1,D41CBN4641,48,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/6/10 0:00, ,CDPW,SCB000005134, , , , ,D,0,999,RICE ST AT MASS AVE BY FRANKS,UNK,0,0,0, ,8/19/10 0:00, ,-71.1281207,42.39526374
270,1421,0,1,1,D41CBN7081,48,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005136, , , , ,D,0,999,RD AT MASS AVE,UNK,1,1,0, ,9/21/11 0:00,Y,-71.12751788,42.39520279
271,1422,0,1,1,D27CBN1528,27,IS,STORM,1/1/1753 12:00:00 AM,24.92,GTS,10/6/10 0:00, ,CDPW,SCB000004248, , , , ,F,0,999, ,UNK,0,0,0,Hvd Sq Hilliard/Story Survey Base,7/22/10 0:00, ,-71.12217522,42.37233897
272,1425,0,1,1,D23CBN1020,31,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000004251, , , , , ,0,999, ,UNK,0,0,0, ,8/25/08 0:00, ,-71.12165121,42.37058653
