OBJECTID,FEATURE_TY,SOURCE,TYPE,X_COORD,Y_COORD,EDITDATE,EDITBY,EDITWHY,BMPNOTES,StrucIDnum,PublicOwne,DudeID,Longitude,Latitude
"436",CBN,,CBN,743892.250000000000000,3004574.250000000000000,,,,,"412",yes,DStr412,-71.17473320,42.49226065
"437",CBN,,CBN,743889.812500000000000,3002103.750000000000000,,,,,"413",yes,DStr413,-71.17477720,42.48548173
"440",CBN,,CBN,743866.062500000000000,3004368.000000000000000,,,,,"416",yes,DStr416,-71.17483320,42.49169499
"441",CBN,,CBN,743865.562500000000000,3003589.750000000000000,,,,,"417",yes,DStr417,-71.17484610,42.48955951
"442",CBN,,CBN,743859.562500000000000,3002151.250000000000000,,,,,"418",yes,DStr418,-71.17488870,42.48561238
"444",CBN,,CBN,743854.625000000116415,3004570.500000000465661,,,,,"420",yes,DStr420,-71.17487280,42.49225076
"446",CBN,,CBN,743851.687500000000000,3002117.250000000000000,,,,,"422",yes,DStr422,-71.17491830,42.48551917
"448",CBN,,CBN,743848.812500000000000,3003130.500000000465661,,,,,"424",yes,DStr424,-71.17491470,42.48829952
"451",CBN,,CBN,743845.000000000000000,3003595.500000000000000,,,,,"427",yes,DStr427,-71.17492220,42.48957550
"453",CBN,,CBN,743841.125000000000000,3004863.250000000000000,,,,,"429",yes,DStr429,-71.17491870,42.49305419
"454",CBN,,CBN,743838.812500000000000,3004588.250000000000000,,,,,"430",yes,DStr430,-71.17493120,42.49229963
"455",CBN,,CBN,743830.562500000000000,3003416.000000000465661,,,,,"431",yes,DStr431,-71.17497830,42.48908311
"456",CBN,,CBN,743827.687500000000000,3003120.000000000000000,,,,,"432",yes,DStr432,-71.17499310,42.48827093
"459",CBN,,CBN,743818.500000000000000,3004888.250000000000000,,,,,"435",yes,DStr435,-71.17500220,42.49312303
"460",CBN,,CBN,743808.562500000000000,3003383.250000000000000,,,,,"436",yes,DStr436,-71.17506030,42.48899347
"461",CBN,,CBN,743793.875000000000000,3004869.000000000000000,,,,,"437",yes,DStr437,-71.17509380,42.49307046
"462",CBN,,CBN,743781.875000000000000,3004548.249999999534339,,,,,"438",yes,DStr438,-71.17514280,42.49219046
"465",CBN,,CBN,743762.500000000000000,3009667.250000000000000,,,,,"441",yes,DStr441,-71.17514240,42.50623694
"466",CBN,,CBN,743761.750000000000000,3003295.750000000000000,,,,,"442",yes,DStr442,-71.17523510,42.48875387
"468",CBN,,CBN,743757.562500000000000,3004560.000000000000000,,,,,"444",yes,DStr444,-71.17523280,42.49222296
"471",CBN,,CBN,743747.125000000000000,3003355.250000000000000,,,,,"447",yes,DStr447,-71.17528850,42.48891729
"472",CBN,,CBN,743746.750000000000000,3004790.000000000000000,,,,,"448",yes,DStr448,-71.17526970,42.49285418
"475",CBN,,CBN,743741.625000000000000,3004526.250000000000000,,,,,"451",yes,DStr451,-71.17529240,42.49213052
"478",CBN,,CBN,743738.687500000000000,3003280.750000000000000,,,,,"454",yes,DStr454,-71.17532080,42.48871295
"479",CBN,,CBN,743728.500000000000000,3004809.000000000000000,,,,,"455",yes,DStr455,-71.17533710,42.49290651
"482",CBN,,CBN,743725.125000000000000,3009660.500000000000000,,,,,"458",yes,DStr458,-71.17528110,42.50621881
"483",CBN,,CBN,743719.250000000000000,3002392.250000000000000,,,,,"459",yes,DStr459,-71.17540540,42.48627514
"484",CBN,,CBN,743717.875000000000000,3005006.000000000000000,,,,,"460",yes,DStr460,-71.17537370,42.49344718
"486",CBN,,CBN,743713.374999999883585,3014328.750000000000000,,,,,"462",yes,DStr462,-71.17525870,42.51902831
"489",CBN,,CBN,743700.937500000000000,3002380.750000000000000,,,,,"465",yes,DStr465,-71.17547350,42.48624378
"490",CBN,,CBN,743699.875000000000000,3004992.750000000000000,,,,,"466",yes,DStr466,-71.17544060,42.49341101
"491",CBN,,CBN,743698.937500000116415,3014307.250000000000000,,,,,"467",yes,DStr467,-71.17531260,42.51896947
"494",CBN,,CBN,743655.875000000000000,3009651.500000000000000,,,,,"470",yes,DStr470,-71.17553800,42.50619484
"495",CBN,,CBN,743647.750000000000000,3004987.000000000000000,,,,,"471",yes,DStr471,-71.17563390,42.49339578
"498",CBN,,CBN,743644.437500000000000,3009624.750000000000000,,,,,"474",yes,DStr474,-71.17558080,42.50612156
"501",CBN,,CBN,743631.687500000000000,3005004.750000000000000,,,,,"477",yes,DStr477,-71.17569320,42.49344465
"508",CBN,,CBN,743609.812500000000000,3004749.500000000000000,,,,,"484",yes,DStr484,-71.17577800,42.49274448
"509",CBN,,CBN,743602.437500000000000,3005615.750000000000000,,,,,"485",yes,DStr485,-71.17579310,42.49512151
"511",CBN,,CBN,743598.062500000000000,3005644.500000000000000,,,,,"487",yes,DStr487,-71.17580890,42.49520045
"513",CBN,,CBN,743588.250000000000000,3004263.999999999534339,,,,,"489",yes,DStr489,-71.17586470,42.49141252
"514",CBN,,CBN,743585.625000000000000,3004726.000000000000000,,,,,"490",yes,DStr490,-71.17586800,42.49268025
"515",CBN,,CBN,743585.625000000000000,3003085.750000000000000,,,,,"491",yes,DStr491,-71.17589110,42.48817948
"516",CBN,,CBN,743581.437500000000000,3003838.250000000000000,,,,,"492",yes,DStr492,-71.17589600,42.49024435
"517",CBN,,CBN,743579.562500000000000,3004331.250000000000000,,,,,"493",yes,DStr493,-71.17589600,42.49159714
"519",CBN,,CBN,743575.625000000000000,3005311.750000000000000,,,,,"495",yes,DStr495,-71.17589680,42.49428763
"521",CBN,,CBN,743570.562500000000000,3002649.250000000465661,,,,,"497",yes,DStr497,-71.17595310,42.48698189
"522",CBN,,CBN,743569.625000000000000,3005338.500000000465661,,,,,"498",yes,DStr498,-71.17591870,42.49436109
"523",CBN,,CBN,743569.437500000000000,3014495.750000000000000,,,,,"499",yes,DStr499,-71.17579030,42.51948805
"524",CBN,,CBN,743568.812500000000000,3003099.500000000000000,,,,,"500",yes,DStr500,-71.17595320,42.48821738
"531",CBN,,CBN,743557.812500000000000,3003843.250000000000000,,,,,"507",yes,DStr507,-71.17598350,42.49025832
"536",CBN,,CBN,743551.812500000000000,3002637.000000000000000,,,,,"512",yes,DStr512,-71.17602270,42.48694848
"540",CBN,,CBN,743543.937500000000000,3014484.500000000000000,,,,,"516",yes,DStr516,-71.17588500,42.51945745
"542",CBN,,CBN,743536.562500000000000,3004850.000000000000000,,,,,"518",yes,DStr518,-71.17604810,42.49302102
"546",CBN,,CBN,743518.812500000000000,3004320.500000000000000,,,,,"522",yes,DStr522,-71.17612140,42.49156828
"547",CBN,,CBN,743517.687499999883585,3005847.000000000000000,,,,,"523",yes,DStr523,-71.17610410,42.49575694
"549",CBN,,CBN,743511.562500000000000,3004399.000000000000000,,,,,"525",yes,DStr525,-71.17614720,42.49178375
"551",CBN,,CBN,743508.250000000000000,3004829.750000000000000,,,,,"527",yes,DStr527,-71.17615340,42.49296575
"552",CBN,,CBN,743506.437500000000000,3004344.250000000000000,,,,,"528",yes,DStr528,-71.17616690,42.49163357
"558",CBN,,CBN,743488.812500000000000,3002947.250000000000000,,,,,"534",yes,DStr534,-71.17625190,42.48780045
"560",CBN,,CBN,743475.562500000000000,3004757.250000000000000,,,,,"536",yes,DStr536,-71.17627560,42.49276715
"561",CBN,,CBN,743470.500000000000000,3004447.500000000000000,,,,,"537",yes,DStr537,-71.17629870,42.49191726
"562",CBN,,CBN,743470.250000000000000,3004779.500000000000000,,,,,"538",yes,DStr538,-71.17629500,42.49282826
"563",CBN,,CBN,743467.812500000000000,3002956.250000000000000,,,,,"539",yes,DStr539,-71.17632970,42.48782536
"564",CBN,,CBN,743466.937500000116415,3004064.750000000000000,,,,,"540",yes,DStr540,-71.17631730,42.49086705
"565",CBN,,CBN,743466.625000000116415,3004986.500000000465661,,,,,"541",yes,DStr541,-71.17630550,42.49339629
"568",CBN,,CBN,743447.875000000000000,3004049.750000000000000,,,,,"544",yes,DStr544,-71.17638820,42.49082609
