p_id,p_facility,p_inlettyp,p_in_typ_o,p_locdesc,p_ownedby,p_legacy_i,p_cvtype,p_cv_typ_o,p_cvshape,p_cv_shp_o,p_cvmateri,p_cv_mat_o,p_cvsize,p_oilhood,p_framemat,p_frm_mat_,p_chimney,p_chimydia,p_chimymat,p_chm_mat_,p_conetype,p_con_typ_,p_conemate,p_con_mat_,p_wallmat,p_wal_mat_,p_bench,p_benchmat,p_ben_mat_,p_channel,p_chanmate,p_chn_mat_,p_chanexpo,p_rimelev,p_inv_dept,p_invertel,p_sump_dep,p_fin_dept,p_installd,p_maintby,p_lastupda,p_lastedit,p_plans,p_comments,p_elevatio,p_map_date,p_mapped_b,p_map_by_o,p_map_meth,p_map_met_,p_map_stat,p_rotation,p_conditio,p_flow,p_activefl,p_enabled,p_operable,p_keyjncti,p_anclryro,p_division,p_asset,p_st_cntr_,Longitude,Latitude
67418,CB-5820,Catchbasin,,4 HENDERSON RD,City,dCB_5943,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.3,,,4,4,1/1/70,City,3/8/22,MSB,,,215.3000031,1/1/70,,,Aerial Photo,,,-130.3117981,,,,,,,,HIGHWAY,Stormwater,6615,-71.1817729,42.45610289
67424,CB-5826,Catchbasin,,2 MINCHIN DR,City,dCB_5949,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,4,206,2,6,1/1/70,City,3/8/22,MSB,,,210,1/1/70,,,Aerial Photo,,,26.77908535,,,,,,,,HIGHWAY,Stormwater,6272,-71.18208298,42.45595278
67544,CB-2205,Catchbasin,,128 MISHAWUM RD,City,dCB_2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.2,4,104.2,1,5,1/1/70,City,3/8/22,MSB,,,108.1999969,1/1/70,,,Aerial Photo,,,-66.42751696,,,,,,,,HIGHWAY,Stormwater,5531,-71.14574428,42.4974285
67782,CB-5927,Catchbasin,,4 RYDER DR,City,dCB_6050,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,1,4,1/1/70,City,3/8/22,MSB,,,,1/1/70,,,Other,,,-21.59340677,,,,,,,,HIGHWAY,Stormwater,6599,-71.19143252,42.45448804
67667,CB-5225,Catchbasin,,5 LEE RD,City,dCB_5339,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.2,4,164.2,1,5,1/1/70,City,3/8/22,MSB,,,168.1999969,1/1/70,,,Aerial Photo,,,46.79349565,,,,,,,,HIGHWAY,Stormwater,6078,-71.19984349,42.46908173
67817,CB-5986,Catchbasin,,4 ERIE ST,City,dCB_6109,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,3,7,1/1/70,City,3/8/22,MSB,,,,1/1/70,,,Other,,,-196.6586113,,,,,,,,HIGHWAY,Stormwater,6682,-71.12436271,42.47780119
67651,CB-5166,Catchbasin,,22 INDEPENDENCE DR,City,dCB_5280,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.6,4,184.6,1,5,1/1/70,City,3/8/22,MSB,,,188.6000061,1/1/70,,,Aerial Photo,,,-246.0376696,,,,,,,,HIGHWAY,Stormwater,5991,-71.18623287,42.47140704
65791,CB-4121,Catchbasin,,None,City,dCB_4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,,,,,1/1/70,City,3/8/22,MSB,,,57.90000152,1/1/70,,,Aerial Photo,,,-193.2300125,,,,,,,,HIGHWAY,Stormwater,5472,-71.12519583,42.48000205
65883,CB-4215,Catchbasin,,100 UNICORN PARK DR,City,dCB_4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4,,,,,1/1/70,City,3/8/22,MSB,,,57.40000152,1/1/70,,,Aerial Photo,,,-84.96392889,,,,,,,,HIGHWAY,Stormwater,6171,-71.11400014,42.48123353
68789,CB-7116,Catchbasin,,37 FULTON ST,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,1,4,,City,3/8/22,MSB,,,,4/28/20,Other,,,,Draft,,,,1,1,1,,0,HIGHWAY,Stormwater,,-71.13940213,42.47404635
