X,Y,OBJECTID,Subtype,FacilityID,InstallDat,LifecycleS,WaterType,PlanNum,Owner,Comments,AccessDiam,AccessMate,AccesType,Station,RimElevati,FieldBook,Invert,Plan1,Plan2,Plan3,FeatureID,DupeNum,Source,OrthoUpdated,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Dewb_Edited
-71.1253896995085,42.3955584958627,"2962","0",SW-CB-00519,9999/09/09 00:00:00,Abandoned,Storm,TB-035,Somerv, ,"9999",Unk,Unk,"9999",9999, ,9999,TB-035,,,CB-SD-520,"1",Original City Data,Not Visible,{426FCC7D-4A06-4C90-AC64-F7E965D063CD},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1139459974332,42.3928160638386,"2963",,SW-CB-02783,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{BF802333-B84E-4A40-9027-D52630F0DD5D},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0989636909382,42.3878420091303,"2964",,SW-CB-02812,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{9EE95862-F35E-46D7-86B7-6A4BBAC3D027},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0850318364366,42.3868106323013,"2965",,SW-CB-02083,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{D3189A76-E46C-4F1B-ADC2-D20A43447564},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1055140036886,42.3783244127827,"2966",,SW-CB-02384,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{C61DC683-0BE1-4928-A988-09C069DA4D25},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0789277356201,42.3868828270529,"2967",,SW-CB-01647,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{E2813F2E-E391-4101-B70D-AB365942BE01},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1062209968386,42.3903285789774,"2968","0",SW-CB-00483,9999/09/09 00:00:00,Active,Storm,TB-046,Somerv, ,"9999",Unk,Unk,"9999",80.83, ,78.33,TB-046,,,CB-SD-484,"1",Original City Data,Yes,{87530E7F-AD27-462F-91AA-8ADEE250F98E},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1167856179918,42.4012605521335,"2969","1",SW-CB-00080,9999/09/09 00:00:00,Active,Storm,TB-007,Somerv, ,"9999",Unk,Unk,"9999",9999, ,9999,TB-007,,,CB-SD-81,"1",Original City Data,Yes,{D6BC9392-8DD4-40B7-B784-3CB5BA3C6C5E},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0878374861933,42.398957140775,"2970",,SW-CB-01960,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{0065B772-2CB9-49E1-B091-A3348FC51A8D},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0971617920974,42.3944667981009,"2971",,SW-CB-01549,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{F459833B-29CB-405A-8848-72ACECCB1514},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
