FID,facilityid,inlettype,in_typ_ot,locdesc,ownedby,legacy_id,cvtype,cv_typ_ot,cvshape,cv_shp_ot,cvmaterial,cv_mat_ot,cvsize,oilhood,framemater,frm_mat_ot,chimney,chimydia,chimymater,chm_mat_ot,conetype,con_typ_ot,conemater,con_mat_ot,wallmat,wal_mat_ot,bench,benchmater,ben_mat_ot,channel,chanmater,chn_mat_ot,chanexposr,rimelev,inv_depth,invertelev,sump_depth,fin_depth,installdat,maintby,lastupdate,lasteditor,plans,comments,pt_geom_x_,pt_geom_y_,elevation,map_date,mapped_by,map_by_ot,map_method,map_met_ot,map_status,rotation,condition,flow,activeflag,enabled,operable,keyjnction,anclryrole,division,asset,st_cntr_id,Longitude,Latitude
2459,swIN-3749,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,751317.7,2978214.8, ,6/28/18 0:00,Town, ,Tablet, ,Final,-254.216414, , ,0,0,0, ,0,HIGHWAY,Stormwater,1009,-71.14761162,42.41983353
2460,swIN-3750,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,1.11,0,3.49,4.6,1/1/70 0:00,0,1/1/70 0:00, , , ,751329.7,2978194.1, ,6/28/18 0:00,Town, ,Tablet, ,Final,-63.40993986, , ,0,0,0, ,0,HIGHWAY,Stormwater,1017,-71.14756749,42.4197766
2461,swIN-3751,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.6,0,2,4.6,1/1/70 0:00,0,1/1/70 0:00, , , ,751293.2,2978209.4, ,6/28/18 0:00,Town, ,Tablet, ,Final,22.30854209, , ,0,0,0, ,0,HIGHWAY,Stormwater,1010,-71.14770243,42.419819
2462,swIN-3752,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2,0,2.8,4.8,1/1/70 0:00,0,1/1/70 0:00, , , ,751302.6,2978187.5, ,6/28/18 0:00,Town, ,Tablet, ,Final,22.30854209, , ,0,0,0, ,0,HIGHWAY,Stormwater,1010,-71.14766795,42.4197588
2463,swIN-3753,Catchbasin, ,44 SHERBORN ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,3.4,3.4,1/1/70 0:00,0,1/1/70 0:00, , , ,751269.5,2977790.2, ,6/28/18 0:00,Town, ,Tablet, ,Final,-108.8735048, , ,0,0,0, ,0,HIGHWAY,Stormwater,1018,-71.14779662,42.41866898
2464,swIN-3754,Catchbasin, ,44 SHERBORN ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.2,0,2.4,4.6,1/1/70 0:00,0,1/1/70 0:00, , , ,751300.9,2977794.7, ,6/28/18 0:00,Town, ,Tablet, ,Final,-108.8735048, , ,0,0,0, ,0,HIGHWAY,Stormwater,1018,-71.14768026,42.41868097
2465,swIN-3755,Catchbasin, ,40 SHERBORN ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,4,4,1/1/70 0:00,0,1/1/70 0:00, , , ,751259.7,2977756.6, ,6/28/18 0:00,Town, ,Tablet, ,Final,71.12649521, , ,0,0,0, ,0,HIGHWAY,Stormwater,1018,-71.14783342,42.4185769
2466,swIN-3756,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,5,5,1/1/70 0:00,0,1/1/70 0:00, , , ,750947.7,2977830.1, ,3/14/19 0:00,Town, ,Aerial Photo, ,Final,-75.55738197, , ,0,0,1, ,0,HIGHWAY,Stormwater,1015,-71.14898775,42.41878211
2467,swIN-3757,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,5,5,1/1/70 0:00,0,1/1/70 0:00, , , ,750983,2978038.9, ,6/28/18 0:00,Town, ,Tablet, ,Final,-114.1286531, , ,0,0,0, ,0,HIGHWAY,Stormwater,1015,-71.14885384,42.41935466
2468,swIN-3758,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,4.6,4.6,1/1/70 0:00,0,1/1/70 0:00, , , ,750969.4,2978049, ,6/28/18 0:00,Town, ,Tablet, ,Final,-114.1286531, , ,0,0,0, ,0,HIGHWAY,Stormwater,1015,-71.14890405,42.41938252
2469,swIN-3759,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,0,2.6,5.6,1/1/70 0:00,0,1/1/70 0:00, , , ,751087.1,2978191.9, ,6/28/18 0:00,Town, ,Tablet, ,Final,69.44297244, , ,0,0,0, ,0,HIGHWAY,Stormwater,1012,-71.14846598,42.41977331
2470,swIN-3760,Catchbasin, ,0 MEDFORD ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,0,2.6,5.6,1/1/70 0:00,0,1/1/70 0:00, , , ,751098.2224,2978235.127, ,6/28/18 0:00,Town, ,Tablet, ,Final,-14.3819947, , ,0,0,0, ,0,HIGHWAY,Stormwater,1010,-71.14842413,42.4198918
2471,swIN-3761,Catchbasin, ,0 MEDFORD ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,751062.4,2978347.1, ,6/28/18 0:00,Town, ,Tablet, ,Final,-175.5897839, , ,0,0,0, ,0,HIGHWAY,Stormwater,1065,-71.14855508,42.42019946
2472,swIN-3762,Catchbasin, ,0 MEDFORD ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,5.2,5.2,1/1/70 0:00,0,1/1/70 0:00, , , ,751099.2,2978321.2, ,6/28/18 0:00,Town, ,Tablet, ,Final,1.145676498, , ,0,0,0, ,0,HIGHWAY,Stormwater,995,-71.14841919,42.42012797
2473,swIN-3763,Catchbasin, ,0 MEDFORD ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,0,0.9,3.9,1/1/70 0:00,0,1/1/70 0:00, , , ,751089.3,2978349.3, ,6/28/18 0:00,Town, ,Tablet, ,Final,1.145676498, , ,0,0,0, ,0,HIGHWAY,Stormwater,995,-71.14845543,42.42020519
