OBJECTID,AncillaryR,Enabled,Subtype,Administra,FacilityID,InstallDat,LocationDe,Operationa,Rotation,LifecycleS,WorkorderI,Elevation,ElevationS,WaterType,AccessDiam,AccessMate,AccesType,Invert,InvertElev,Source,Inline,LocationMe,Completed,Comment,WSE_GPS_ID,Owner,Latitude,Longitude
374,,1,1,,,,,,346.3041382,Active,,16.86000061,,Storm,24,Steel,Grate,,,AERIALS,,,,,511,CHELSEA,42.38868543,-71.02809834
375,,1,1,,,,,,349.027771,Active,,13.98999977,,Storm,24,Steel,Grate,,,AERIALS,,,,,512,CHELSEA,42.38875822,-71.0276832
376,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,Chelsea RD,,DIGI,,,513,CHELSEA,42.38873673,-71.02728037
377,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,Chelsea RD,,DIGI,,,514,CHELSEA,42.38877035,-71.02717774
378,,1,1,,,,,,292.442749,Active,,42.65999985,,Storm,24,Steel,Grate,,,AERIALS,,,,,515,CHELSEA,42.39161289,-71.03257588
379,,1,1,,,,,,339.9217834,Active,,43.66999817,,Storm,24,Steel,Grate,,,AERIALS,,,,,516,CHELSEA,42.39153547,-71.03250597
380,,1,1,,,,,,68.65953064,Active,,42.04999924,,Storm,24,Steel,Grate,,,GPS,,,,,517,CHELSEA,42.39154527,-71.03269831
381,,1,1,,,,,,350.490509,Active,,12.10000038,,Storm,24,Steel,Grate,,,AERIALS,,,,,518,CHELSEA,42.38660481,-71.03162852
382,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,519,CHELSEA,42.38679325,-71.03219554
383,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,520,CHELSEA,42.38647312,-71.03228162
384,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,521,CHELSEA,42.38643248,-71.03202599
385,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,522,CHELSEA,42.38639448,-71.03178464
386,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,523,CHELSEA,42.38657126,-71.03141681
387,,1,1,,,,,,168.3232575,Active,,10.46000004,,Storm,24,Steel,Grate,0,,AERIALS,0,DIGI,0,Strong odor-same smell as hide and fur business,524,CHELSEA,42.38639154,-71.03205131
388,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,525,CHELSEA,42.38630589,-71.03213855
389,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,526,CHELSEA,42.38672317,-71.0326342
390,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,527,CHELSEA,42.38660025,-71.03267084
391,,1,1,,,,,,349.5308228,Active,,11.35000038,,Storm,24,Steel,Grate,,,GPS,,,,,528,CHELSEA,42.38643793,-71.03300973
392,,1,1,,,,,,348.8351135,Active,,10.78999996,,Storm,24,Steel,Grate,0,,GPS,0,,0,,529,CHELSEA,42.38654306,-71.03305401
393,,1,1,,,,,,349.2755432,Active,,11.18999958,,Storm,24,Steel,Grate,,,AERIALS,,,,,530,CHELSEA,42.38678846,-71.03466794
395,,1,1,,,,,,350.1588745,Active,,11.09000015,,Storm,24,Steel,Grate,0,,AERIALS,0,DIGI,0,,531,CHELSEA,42.38675791,-71.03447127
396,,1,1,,,,,,349.5839844,Active,,11.36999989,,Storm,24,Steel,Grate,,,AERIALS,,,,,532,CHELSEA,42.3866674,-71.03453509
397,,1,1,,,,,,0,Active,,0,,Storm,24,Steel,Grate,0,,,0,DIGI,0,,533,CHELSEA,42.38679428,-71.03448238
398,,1,1,,,,,,349.1917725,Active,,11.22999954,,Storm,24,Steel,Grate,,,AERIALS,,,,,534,CHELSEA,42.3865631,-71.03381369
399,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,535,CHELSEA,42.38665871,-71.03380037
400,,1,1,,,,,,297.5528259,Active,,38.66999817,,Storm,24,Steel,Grate,,,AERIALS,,,,,536,CHELSEA,42.38984781,-71.03359378
401,,1,1,,,,,,340.9248962,Active,,39.04000092,,Storm,24,Steel,Grate,,,AERIALS,,,,,537,CHELSEA,42.38991504,-71.03344432
402,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,538,CHELSEA,42.38580454,-71.02817424
403,,1,1,,,,,,0,Active,,91.11000061,,Storm,24,Steel,Grate,,,GPS,,,,,539,CHELSEA,42.39073734,-71.029366
404,,1,1,,,,,,0,Active,,91.26000214,,Storm,24,Steel,Grate,,,AERIALS,,,,,540,CHELSEA,42.39072026,-71.02926832
405,,1,1,,,,,,339.646759,Active,,48.41999817,,Storm,24,Steel,Grate,,,GPS,,,,,541,CHELSEA,42.38956004,-71.02994764
406,,1,1,,,,,,24.94390488,Active,,40.68000031,,Storm,24,Steel,Grate,,,AERIALS,,,,,542,CHELSEA,42.38901381,-71.0301355
407,,1,1,,,,,,70.67681885,Active,,39.93999863,,Storm,24,Steel,Grate,,,AERIALS,,,,,543,CHELSEA,42.38888096,-71.03018746
408,,1,1,,,,,,73.15280151,Active,,33.95000076,,Storm,24,Steel,Grate,,,AERIALS,,,,,544,CHELSEA,42.38839335,-71.03029158
409,,1,1,,,,,,302.7842712,Active,,33.16999817,,Storm,24,Steel,Grate,,,AERIALS,,,,,545,CHELSEA,42.38831052,-71.03044311
410,,1,1,,,,,,347.0272827,Active,,10.26000023,,Storm,24,Steel,Grate,,,AERIALS,,,,,546,CHELSEA,42.38838481,-71.02688532
411,,1,1,,,,,,346.6286621,Active,,10.14999962,,Storm,24,Steel,Grate,,,AERIALS,,,,,547,CHELSEA,42.38829577,-71.02691847
412,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,548,CHELSEA,42.39124059,-71.03277148
413,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,549,CHELSEA,42.38624291,-71.0304943
414,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,550,CHELSEA,42.39192511,-71.02505175
415,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,551,CHELSEA,42.39173856,-71.02488058
416,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,552,CHELSEA,42.39153101,-71.02469654
417,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,553,CHELSEA,42.39189753,-71.02428337
418,,1,1,,,,,,0,Active,,11.02999973,,Storm,24,Steel,Grate,,,AERIALS,,,,,554,CHELSEA,42.39183648,-71.02425565
419,,1,1,,,,,,0,Active,,11.89999962,,Storm,24,Steel,Grate,,,AERIALS,,,,,555,CHELSEA,42.39168275,-71.02409981
420,,1,1,,,,,,349.4919739,Active,,18.70000076,,Storm,24,Steel,Grate,,,GPS,,,,,556,CHELSEA,42.38945739,-71.02595801
646,,1,1,,,,,,38.23382568,Active,,10.76000023,,Storm,24,Steel,Grate,,,AERIALS,,,,,557,CHELSEA,42.39481287,-71.03639969
647,,1,1,,,,,,0,Active,,10.85000038,,Storm,24,Steel,Grate,,,AERIALS,,,,,558,CHELSEA,42.39474587,-71.03634076
650,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,DIGI,,,561,CHELSEA,42.4003448,-71.03108985
651,,1,1,,,,,,311.4438171,Active,,117,,Storm,24,Steel,Grate,,,AERIALS,,,,,562,CHELSEA,42.40235085,-71.03343279
652,,1,1,,,,,,0,Active,,114.7300034,,Storm,24,Steel,Grate,,,GPS,,,,,563,CHELSEA,42.4024233,-71.03339215
653,,1,1,,,,,,327.8627625,Active,,119.1500015,,Storm,24,Steel,Grate,,,GPS,,,,,564,CHELSEA,42.40229419,-71.0334724
654,,1,1,,,,,,344.1974792,Active,,116.3099976,,Storm,24,Steel,Grate,,,GPS,,,,,565,CHELSEA,42.40248153,-71.03324484
655,,1,1,,,,,,312.0262756,Active,,26.34000015,,Storm,24,Steel,Grate,,,AERIALS,,,,,566,CHELSEA,42.40155596,-71.03603455
656,,1,1,,,,,,311.7038879,Active,,26.29999924,,Storm,24,Steel,Grate,,,AERIALS,,,,,567,CHELSEA,42.40158716,-71.03596546
657,,1,1,,,,,,309.3327026,Active,,14.14000034,,Storm,24,Steel,Grate,,,GPS,,,,,568,CHELSEA,42.39534317,-71.02781481
660,,1,1,,,,,,85.9622879,Active,,13.52000046,,Storm,24,Steel,Grate,,,AERIALS,,,,,569,CHELSEA,42.39539498,-71.02800911
661,,1,1,,,,,,0,Active,,13.56000042,,Storm,24,Steel,Grate,,,AERIALS,,,,,570,CHELSEA,42.39544745,-71.0279145
662,,1,1,,,,,,8.29714489,Active,,15.48999977,,Storm,24,Steel,Grate,,,GPS,,,,,571,CHELSEA,42.39520133,-71.02814165
663,,1,1,,,,,,282.4395752,Active,,31.27000046,,Storm,24,Steel,Grate,,,AERIALS,,,,,572,CHELSEA,42.3952816,-71.02988484
