FID,OBJECTID,AncillaryR,Enabled,Subtype,FacilityID,InstallDat,Rotation,LifecycleS,WaterType,PlanNum,Owner,CatchArea,Comments,AccessDiam,AccessMate,AccesType,Station,RimElevati,FieldBook,Invert,x,y
564,590,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,15.9, ,11.9,-71.0844323676802,42.3759493586249
565,591,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,15.8, ,11.9,-71.084559485875,42.3758918683956
566,592,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0885382020251,42.3789607097149
567,593,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0884088281807,42.3789743437457
568,594,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0881694962074,42.378727644391
569,595,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0881876027768,42.3785963757781
570,596,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0871356605131,42.3776403146404
571,597,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0872201693993,42.3773711138042
572,598,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0873102171194,42.3774557553279
573,599,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0869115988729,42.3773957287474
574,600,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0869987387242,42.3773345840776
575,601,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0861420890007,42.376571173215
576,603,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0862368731703,42.3765200626702
577,604,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0856375993818,42.3759004877062
578,605,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,DATA FROM SOMERVILLE HOUSING AUTHORITY,9999,Unk,Unk,9999,9999, ,9999,-71.0855410026805,42.3759344407318
579,606,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.088178440345,42.3767375984288
580,607,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.0883142965906,42.3767182582292
581,608,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.0881128745686,42.37685782688
582,609,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.0876571852407,42.3768616231891
583,610,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.0877130047973,42.3767770054411
584,611,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.0876321461846,42.376365007684
585,612,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.0876607272455,42.3765156875259
586,613,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.08761834234,42.376561961652
587,614,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.087488098929,42.3764342967778
588,615,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.0872071563873,42.3763050860118
589,616,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.0865589893419,42.37579109861
590,617,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.0869365799844,42.376119742129
591,618,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,SEE COMMENTS,Somerv, ,MCGRATH HWY BRIDGE RECONSTRUCTION PLAN,9999,Unk,Unk,9999,9999, ,9999,-71.0869641958104,42.3760226551227
