lon,lat,owner,watershed,type,form
-78.9297865438494,35.93822241336175,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.9298224986491,35.93832517738038,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.99586989238144,35.9321408676836,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.99617119015012,35.93223255002888,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.81375145840404,36.01510704068915,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81373617400078,36.01509278756554,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81366589713227,36.0151424573332,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81336176468952,36.01500392539862,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81308972042041,36.01501188812608,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81303179418592,36.01502841928096,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81249978887804,36.01525723169672,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81247127347922,36.015276472370445,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81255554458478,36.01531635178317,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81251822558887,36.0153408258662,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.8122338007029,36.015524690067764,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81231952413003,36.015550809049806,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.89734776472585,35.99223278237877,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89741107071788,35.99215921349479,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89754140525567,35.99200850752476,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.8964771875613,35.991023601608234,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89667502556382,35.991216615059514,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89689516716058,35.99141541589794,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.8971754398792,35.991645309101756,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89745810661117,35.99185460045701,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89754996423083,35.991923354842264,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89717037646193,35.99243536856412,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89692392797792,35.992716188330846,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89682552188373,35.9927454991333,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89648098439274,35.992543021701465,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89616144515203,35.992354574701764,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.9221357713905,35.91317140912269,CITY-ROW,Crooked Creek,COMBO INLET,BOX
-78.92198874155129,35.91316496924639,CITY-ROW,Crooked Creek,COMBO INLET,BOX
-78.88725546554296,35.980122117341,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.90132017670653,36.004364218020385,CITY-ROW,Ellerbe Creek,COMBO INLET,BOX
-78.90132472649084,36.00401668873788,CITY-ROW,Ellerbe Creek,COMBO INLET,BOX
-78.90131478167842,36.00382746188746,CITY-ROW,Ellerbe Creek,COMBO INLET,BOX
-78.9234817914395,35.97311558382447,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.88861263467012,36.01031227764404,CITY-ROW,Ellerbe Creek,COMBO INLET,BOX
-78.8910464861636,35.975171863313115,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.81454878905001,35.97691044464566,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81447830884767,35.97694563798867,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81434101244413,35.97695114334304,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81470570614952,35.97723539140988,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81461770075526,35.97723429636845,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81471510554415,35.97785191234,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.81463186364012,35.97785137395879,CITY-ROW,Little Lick Creek,COMBO INLET,BOX
-78.89951245241625,36.0090924680873,CITY-ROW,Ellerbe Creek,COMBO INLET,BOX
-78.92681446440277,36.03072198381187,CITY-ROW,Ellerbe Creek,COMBO INLET,BOX
-78.92970834249994,35.93841497091359,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.9291097423029,35.93911047726908,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.9289703030385,35.93906130468902,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92889003389314,35.939028731730545,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92877158872336,35.939497738060425,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92893660695802,35.93954027765693,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92845503171309,35.940670309721895,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92834519121602,35.9406499713611,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.92862797160461,35.940696481369535,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.91428718155969,35.8917819235808,CITY-ROW,Northeast Creek,COMBO INLET,BOX
-78.91439344984178,35.89173010367012,CITY-ROW,Northeast Creek,COMBO INLET,BOX
-78.91389640398108,35.89183530113303,CITY-ROW,Northeast Creek,COMBO INLET,BOX
